include,id,nature,category,tags,species,species by,subspecies,species syn,species syn by,species alt,wyk name,amar name,hu name,other name,wikipedia,POWO,GBIF,family,part used,region of origin,country,lat,lon,source,year recorded in TCM,macroarea,range,native regions,no. of native regions,introduced regions,no. of introduced regions,total regions,spreadability,cultivation,color,usage,pharmaceutical,pharma en,TCM,TCM DB,TCM name,TCM pinyin,desc,medicinal group,meridian,action,Hu zh,Ayurveda,Words,Britannica,Notes,English,En alt,Plant name,Chinese WN,Chinese simp,Chinese,Ch transliteration,Jyutping,Ch literal,Ch alt,Arabic,Ar transliteration,Ar literal,Ar alt,Hungarian,Hu literal,Hu alt,Hu notes,Hindi,Hi transliteration,Hi literal,Hi alt ,Indonesian,Malay,Persian,FOC,taste/smell,heat,Major uses,Culinary,Medicinal,Köhler,Wyk,Hu,Hu en,Extra,sym,hu_1990,IPNI,TPL,TROP,EOL,WFO,NCBI,NCBI id
in,allspice,plant,spice,spice,Pimenta dioica,(L.) Merr.,,Pimenta officinalis,Lindl.,,allspice; pimento; Jamaican pepper,,,,https://en.wikipedia.org/wiki/Allspice,https://powo.science.kew.org/taxon/196799-2,https://www.gbif.org/species/3186061,Myrtaceae,unripe fruit; leaf,S. Mexico to C. America; Caribbean,Jamaica,18,-77,van_wyk_culinary_2014,,Americas,"S. Mexico to Central America, Caribbean","Bahamas, Belize, Cayman Is., Costa Rica, Cuba, Dominican Republic, Guatemala, Honduras, Jamaica, Mexico Gulf, Mexico Southeast, Mexico Southwest, Nicaragua",13,"Bermuda, Caroline Is., Colombia, El Salvador, Florida, Hawaii, Puerto Rico, Society Is., Southwest Caribbean, Trinidad-Tobago, Venezuela",11,24.0,0.8461538461538461,"Jamaica, Mexico",dark brown,,"Fructus Amomi, Fructus Pimentae",,,,,,,,,,,,,https://www.britannica.com/plant/allspice,West Indies; Greater Antilles,allspice,pimento; Jamaica pepper,allspice tree,多香果粉 (plant: 多香果树; 众香树),多香果,多香果,duōxiāngguǒ,,many-spice-fruit,,فلفل إفرنجي,fulful ifranjī,European pepper,,szegfűbors,clove-pepper,\textit{jamaicaibors} [Jamaican-pepper]; \textit{amomummag} [amomum-seed],vegyesfűszer,गंधद्रव्य?,gandhadravya,,,,,,,"pungent, mixed, spicy",4,"pickles, wines, desserts, liquors",jerk,,II 174,210,,,,,,,http://www.theplantlist.org/tpl1.1/record/kew-156136,,,,,375272
in,anise,plant,spice,spice,Pimpinella anisum,L.,,,,,anise; aniseed,,,,,https://powo.science.kew.org/taxon/846658-1,,Apiaceae,fruit; oil,E. Mediterranean; W. Asia,TR,39,35,van_wyk_culinary_2014,,E. Med.,East Mediterranean,"Cyprus, Lebanon-Syria, Palestine, Turkey",4,"Argentina Northeast, Argentina Northwest, Austria, Bangladesh, Belarus, Brazil South, Bulgaria, Czechoslovakia, Denmark, East Aegean Is., France, Germany, Greece, Guatemala, Hungary, India, Iraq, Italy, Kazakhstan, Kriti, Laos, Leeward Is., Massachusetts, Michigan, Morocco, Norway, Oman, Poland, Portugal, Romania, South European Russi, Spain, Sweden, Tadzhikistan, Trinidad-Tobago, Tunisia, Turkmenistan, Ukraine, Uzbekistan, Venezuela, Xinjiang, Yugoslavia",42,46.0,10.5,"Turkey, Egypt, Spain, Russia, Italy, etc.",light brown,,Fructus Anisi,,,,,,,,,,,,,https://www.britannica.com/plant/anise,"Cult: Turkey, Egypt, Spain, Russia, Italy, India, Greece, Northern Africa, Argentina, Malta, Romania, Syria",anise,aniseed,,"大茴香, 大茴香籽",茴芹,茴芹,huíqín,,anise-celery,,أنيسون,anīsūn,,{يانسون} \textit{yānsūn},ánizs,,,közönséges ánizs; illatos ánizs; fűszeránizs,मोटी सौंफ़,moti saunf,fat fennel,,adas manis,,بادیان رومی، انیسون,,"licorice-like, sweet",1,"pastries, candies, liquors",,,II 93,212,,,,,,,http://www.theplantlist.org/tpl1.1/record/kew-2402426,,,,,271192
in,asafoetida,plant,spice,spice; medicine,Ferula foetida,(Bunge) Regel,,,,\taxonn{Ferula assa-foetida}{L.}; et al.,"hing, devil’s dung, asant",,asafetida,,,https://powo.science.kew.org/taxon/842277-1,,Apiaceae,gum-resin (latex),Iran; W. and C. Asia,Iran,35,55,van_wyk_culinary_2014,659,Asia,Central Asia,"Afghanistan, Iran, Kazakhstan, Kirgizstan, Pakistan, Tadzhikistan, Turkmenistan, Uzbekistan",8,,1,9.0,0.125,Iran; Afghanistan,from pale yellow to brown,,"Asafetida, Resina Ferulae",Ferula Resin,,,阿魏,āwèi,,,,,阿魏,,,https://www.britannica.com/topic/asafetida,,asafoetida,hing; devil's dung,,"阿魏胶, 阿魏",阿魏,阿魏,āwèi,,,,حلتیت,ḥiltīt,,,ördöggyökér,devil's root,\textit{aszatgyanta} [asat resin]; \textit{bűzös aszat} [stinking asat],"büdös gyantagyökér; bűzös husáng, bűzös aszat; ördögszar, aszatgyanta, aszandkórógyanta, pálcakórógyanta, aszafetida, bűzaszat , Aszandkóró (növény wiki)!",हींग,hīng,,,,,,,"pungent, rotten",1,curries; expectorant,,,II 147,138,,Asafetida,Tamil perungayam. There is a saying in Kannada 'ಇಂಗು ತೆಂಗು ಇದ್ದರೆ ಮಂಗನೂ ಅಡಿಗೆ ಮಾಡತ್ತೆ'. This means even a monkey can cook if Asafoetida and coconut is available. Hing is must in Kannada and Marathi brahmin cuisine for sure.,yes,yes,,http://www.theplantlist.org/tpl1.1/record/kew-2808419,,,,,371345
in,caraway,plant,spice,spice,Carum carvi,L.,,,,,caraway,,,,,https://powo.science.kew.org/taxon/839677-1,,Apiaceae,fruit,Mediterranean; Eurasia,East Europe,45,69,van_wyk_culinary_2014,,Eurasia,Eurasia,"Afghanistan, Albania, Altay, Amur, Austria, Baltic States, Bangladesh, Belarus, Belgium, Bulgaria, Buryatiya, Central European Rus, China North-Central, China South-Central, Chita, Czechoslovakia, Denmark, East European Russia, East Himalaya, Finland, France, Germany, Hungary, India, Inner Mongolia, Iran, Iraq, Irkutsk, Italy, Kamchatka, Kazakhstan, Khabarovsk, Kirgizstan, Krasnoyarsk, Krym, Kuril Is., Manchuria, Mongolia, Nepal, Netherlands, North Caucasus, North European Russi, Northwest European R, Norway, Pakistan, Poland, Primorye, Qinghai, Romania, Sakhalin, South European Russi, Spain, Sweden, Switzerland, Tadzhikistan, Tibet, Transcaucasus, Turkey, Turkmenistan, Tuva, Ukraine, Uzbekistan, West Himalaya, West Siberia, Xinjiang, Yakutskiya, Yugoslavia",67,"Alberta, Algeria, British Columbia, Colorado, Connecticut, Cyprus, District of Columbia, Føroyar, Great Britain, Greenland, Iceland, Idaho, Illinois, Indiana, Iowa, Ireland, Kentucky, Labrador, Libya, Louisiana, Maine, Manitoba, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Montana, Morocco, New Brunswick, New Hampshire, New Jersey, New Mexico, New York, Newfoundland, North Carolina, North Dakota, Nova Scotia, Nunavut, Ohio, Ontario, Oregon, Pennsylvania, Prince Edward I., Québec, Rhode I., Saskatchewan, South Dakota, South Georgia, Tunisia, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming",57,124.0,0.8507462686567164,"Denmark, Lebanon, The Netherlands, Poland",dark brown,,Fructus Carvi,,,,,1675,,,,,藏茴香,,,https://www.britannica.com/plant/caraway,,caraway,,,葛缕子,葛缕子,葛縷子,gě​lǚ​zi,,,,كراويا,karāwiyā,,,fűszerkömény ,spice-cumin,,,,,,,,jintan,,,"warm, sweet, anise-like",1,"breads, sausages, cheese; carminative",,,II 91,100,,Caraway,,,,,http://www.theplantlist.org/tpl1.1/record/kew-2701499,,,,,48032
in,cardamom,plant,spice,spice,Elettaria cardamomum,(L.) Maton,,Amomum cardamomum,L.,,"cardamom, -mon, -mum; green cardamom; true cardamom ",,,,,https://powo.science.kew.org/taxon/796556-1,,Zingiberaceae,"fruit (seed pods, capsules)",India,IN,16,75,van_wyk_culinary_2014,,Asia,India,"India, the Western Ghats",2,"Bangladesh, Cambodia, Costa Rica, Lesser Sunda Is., Réunion, Thailand, Trinidad-Tobago",7,9.0,3.5,Guatemala; India; Sri Lanka; Tanzania; Papua New Guinea,"green seed pods, brown seeds",,Fructus Cardamomi,Cardamom,,,小豆蔻,475,,,,,豆蔻,,,https://www.britannica.com/plant/cardamom,,cardamom,,,"小豆蔻, 豆蔻",豆蔻,荳蔻/豆蔻,dòukòu,,bean-cardamom,,هال,hāl,,{هيل} \textit{hayl},kardamom,,,,,,,,,,,,"pungent, eucalyptus-like",2,"desserts, coffees, curries",,,II 186,132,325-326,Cardamom,,,,,http://www.theplantlist.org/tpl1.1/record/kew-243056,,,,,105181
in,cassia,plant,spice,spice,Cinnamomum cassia,(L.) J.Presl.,,Cinnamomum aromaticum,Nees,et al.,cassia; Chinese cinnamon; Chinese cassia,,,,,https://powo.science.kew.org/taxon/463288-1,,Lauraceae,bark; fruit,Southeast China,Southeast China,22,111,van_wyk_culinary_2014,?,Asia,South China; Vietnam,China Southeast,1,"Bangladesh, Cambodia, China South-Central, Guatemala, Hainan, Honduras, India, Laos, Malaya, Myanmar, Sumatera, Taiwan, Thailand, Trinidad-Tobago, Vietnam",15,16.0,15.0,Indonesia; China; Vietnam; Timor-Leste; etc.,reddish brown,,Cortex Cassiae/Cinnamomi Cortex; Ramulus Cinnamomi,Cassia bark,yes,polyu-tcm,肉桂,ròuguì,,,,,,,,https://www.britannica.com/topic/cassia-spice,,cassia,,,"桂皮, 肉桂, 香桂",,肉桂,ròuguì,,flesh-cinnamon,,سليخة,salīkha,peel; bark,,kasszia(fahéj),cassia (tree-bark),,,,,,,,,,,"pungent, cinnamon-like",3,flavor; diarrhea,,,I 77,104,399,,,yes,no,,http://www.theplantlist.org/tpl1.1/record/kew-2721201,,,,,119260
in,chile,plant,spice,spice,Capsicum annuum,L.,,,,\taxonn{Capsicum frutescens}{L.}; \taxonn{Capsicum chinense}{Jacq.}; et al.,paprika; cayenne pepper; chilli (pepper); chili (pepper); green pepper; red pepper,,,,,https://powo.science.kew.org/taxon/316944-2,,Solanaceae,fruit,Central America,Central America,12,-85,van_wyk_culinary_2014,,Americas,Central America,"Guatemala, Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Northwest, Mexico Southeast, Mexico Southwest",7,"Alabama, Aldabra, Algeria, Andaman Is., Angola, Assam, Austria, Bahamas, Bangladesh, Belize, Benin, Bismarck Archipelago, Bolivia, Borneo, Botswana, Brazil North, Brazil Northeast, Bulgaria, Burundi, Cambodia, Cameroon, Canary Is., Cape Verde, Caroline Is., Cayman Is., Central African Repu, Chad, Colombia, Comoros, Congo, Cook Is., Costa Rica, Cuba, Djibouti, Dominican Republic, East Himalaya, Ecuador, El Salvador, Equatorial Guinea, Eritrea, Ethiopia, Fiji, Gabon, Galápagos, Gambia, Ghana, Gilbert Is., Greece, Guinea-Bissau, Gulf of Guinea Is., Guyana, Haiti, Honduras, India, Ivory Coast, Jawa, Kazakhstan, Kazan-retto, Kenya, Korea, Laos, Leeward Is., Line Is., Madagascar, Madeira, Maldives, Mali, Marianas, Marquesas, Marshall Is., Mauritius, Morocco, Myanmar, Nepal, New Guinea, New South Wales, New York, Nicobar Is., Niger, Nigeria, Northern Provinces, Northern Territory, Oman, Pakistan, Panamá, Peru, Philippines, Puerto Rico, Queensland, Rodrigues, Réunion, Senegal, Sierra Leone, Society Is., Solomon Is., Somalia, Southwest Caribbean, Sri Lanka, Sulawesi, Suriname, Tadzhikistan, Tanzania, Togo, Trinidad-Tobago, Tuamotu, Tunisia, Turkey, Turkmenistan, Turks-Caicos Is., Uganda, Uzbekistan, Vanuatu, Venezuela, Vietnam, Wake I., West Himalaya, Windward Is., Zambia, Zaïre, Zimbabwe",120,127.0,17.142857142857142,"Ethiopia, India, Kenya, Mexico, Nigeria, Pakistan, Tanzania, etc.",red and green in many shades,,Fructus Capsici acer,,,,,,,,,,,,paprika,https://www.britannica.com/plant/chili-pepper,https://www.britannica.com/topic/paprika,chile,,,"辣椒, 椒; 辣椒粉",,辣椒,làjiāo,,pungent-pepper,,فلفل حار,fulful hārr,hot pepper,,paprika,,\textit{pirospaprika} [red-pepper]; \textit{fűszerpaprika} [spice-pepper]; \textit{erős-paprika} [strong-pepper]; \textit{csilipaprika} [chili-pepper]; \textit{Cayenne bors} [Cayenne pepper]; \textit{törökbors} [Turkish-pepper] (historic),,मिर्च; हरी मिर्च; लाल मिर्च,mirch; hari mirch; lal mirch,,,cabai; cabe; lombok,,,,"pungent, fiery",4-10,flavors; analgesic,,,II 127,94,,,,,,,http://www.theplantlist.org/tpl1.1/record/kew-2698415,,,,,4072
in,cinnamon,plant,spice,spice,Cinnamomum verum,J.Presl.,,Cinnamomum zeylanicum,Blume,,cinnamon; Ceylon cinnamon,,,,,https://powo.science.kew.org/taxon/463752-1,,Lauraceae,bark; leaf,Sri Lanka; SW. India,,7,81,van_wyk_culinary_2014,,Asia,Sri Lanka,Sri Lanka,1,"Argentina Northeast, Assam, Bangladesh, Borneo, Brazil Southeast, Cambodia, Caroline Is., China Southeast, Comoros, Cook Is., Fiji, Gulf of Guinea Is., Hawaii, India, Jawa, Leeward Is., Mauritius, Myanmar, Philippines, Samoa, Seychelles, Society Is., Taiwan, Tanzania, Vietnam, Windward Is.",26,27.0,26.0,Sri Lanka; Seychelles; Madagascar; India,"warm yellowish-brown, cinnamon \sample{cinnamon}",,Cortex Cinnamoni,,,,,,,,,,,,,https://www.britannica.com/plant/cinnamon,,cinnamon,,,"桂皮, 肉桂",锡兰,錫蘭肉桂,xīlánròuguì,,Ceylon-flesh-cinnamon,,قرفة,qirfa,rind; bark,{دارصيني} \textit{dārsīnī},fahéj,tree-bark,,,,,,,,,,,"sweet, fragrant, pungent",3,flavor; anti-microbial,,,I 78,104,,,,,,,http://www.theplantlist.org/tpl1.1/record/kew-2721692,,,,,128608
in,clove,plant,spice,spice,Syzygium aromaticum,(L.) Merr. \& L.M.Perry,,Eugenia aromatica,(L.) Baill.,\taxonn{Eugenia cayophyllata}{Thunb.},clove(s),,,,,https://powo.science.kew.org/taxon/601421-1,,Myrtaceae,flower buds,Moluccas (Indonesia),Ternate and Tidore,0,127,van_wyk_culinary_2014,973,Asia,Indonesia,Maluku,1,"Borneo, Caroline Is., Comoros, Gulf of Guinea Is., Madagascar, Nicobar Is., Seychelles, Tanzania, Trinidad-Tobago",9,10.0,9.0,"Indonesia, Malaysia, Tanzania","rich, reddish brown",,Fructus Caryophylli; Flos Caryophylli; Caryophylli Flos,Clove,yes,,丁香,dīngxiāng,Dried flower bud,Interior-warming medicinal,pungent; warm,"Spleen, Stomach, Lung, Kidney",母丁香; 丁香 (雄丁香),,,https://www.britannica.com/plant/clove,,clove,,clove tree,丁香,丁香,丁香,dīngxiāng,ding1 hoeng1 ,nail-spice,,قرنفل,qaranful,,,szegfűszeg,nail-grass-nail,,,,,,,,,,,"sweet, pungent, astringent",5,"meats, sauces; anesthetic",,,II 125,266,,Clove (fruit),,yes,yes,,http://www.theplantlist.org/tpl1.1/record/kew-199236,,,,,219868
in,coriander,plant,spice,spice; herb,Coriandrum sativum,L.,,,,,coriander; cilantro; Chinese parsley,,,,,https://powo.science.kew.org/taxon/840760-1,,Apiaceae,fruit; leaf,Mediterranean; W. Asia; India; SW As,,35,39,van_wyk_culinary_2014,1061,Asia,West Asia,"Afghanistan, Iran, Lebanon-Syria, North Caucasus, Pakistan, Palestine, Saudi Arabia, Sinai, Transcaucasus, Turkey",10,"Algeria, Amur, Andaman Is., Angola, Argentina Northeast, Argentina Northwest, Argentina South, Arizona, Assam, Austria, Azores, Baltic States, Bangladesh, Belarus, Belgium, Borneo, Brazil South, Bulgaria, California, Cambodia, Cameroon, Canary Is., Cape Provinces, Cape Verde, Central European Rus, Chad, China North-Central, China South-Central, China Southeast, Colombia, Connecticut, Costa Rica, Cuba, Cyprus, Czechoslovakia, Delaware, Denmark, Dominican Republic, East European Russia, East Himalaya, Ecuador, Egypt, El Salvador, Eritrea, Ethiopia, Fiji, Finland, Florida, France, Free State, Germany, Great Britain, Greece, Guatemala, Haiti, Hawaii, Hungary, Illinois, India, Iraq, Italy, Japan, Jawa, Juan Fernández Is., Kazakhstan, Kenya, Khabarovsk, Korea, Kriti, Krym, KwaZulu-Natal, Laos, Lesser Sunda Is., Libya, Louisiana, Madeira, Malaya, Maluku, Maryland, Massachusetts, Mauritius, Mexico Central, Mexico Northwest, Michigan, Missouri, Mongolia, Montana, Morocco, Mozambique, Nepal, Nevada, New Guinea, New Jersey, New Mexico, New York, New Zealand North, New Zealand South, Nicobar Is., Norfolk Is., North Carolina, North Dakota, Northern Provinces, Norway, Nova Scotia, Ohio, Oklahoma, Ontario, Oregon, Paraguay, Pennsylvania, Peru, Philippines, Poland, Portugal, Primorye, Puerto Rico, Québec, Rhode I., Rodrigues, Romania, Réunion, Sicilia, Somalia, South Carolina, South Dakota, South European Russi, Spain, Sri Lanka, Sudan, Sulawesi, Sumatera, Sweden, Switzerland, Tadzhikistan, Tanzania, Texas, Thailand, Trinidad-Tobago, Tunisia, Turkey-in-Europe, Turkmenistan, Uganda, Ukraine, Uzbekistan, Vietnam, Virginia, Washington, West Siberia, Yugoslavia, Zimbabwe",150,160.0,15.0,"Argentina, India, Morocco, Romania, Spain, Yugoslavia",light yellow,,Fructus Coriandri; Semen Coriandri,,,,芫荽子,yansui zǐ,,,,,胡荽 (芫荽); 芫荽仁 (芫荽子),,,https://www.britannica.com/plant/coriander,,coriander,cilantro; Chinese parsley,coriander,"原荽, 荷兰芹, 芫荽, 园荽, 洋芫荽, 番芫荽, 芫荽根茎, 胡菜, 洋香菜, 欧芹, 香菜",芫荽,芫荽,yán​sui,,lilac-coriander,,كزبرة,kuzbara,,,koriander,,\textit{cigánypetrezselyem} [gipsy-parsley],,,,,,,,,,"warm, aromatic, sweet",1,curries; anti-microbial,,,II 145,,,Coriander; Coriander (seed),,yes,yes,,http://www.theplantlist.org/tpl1.1/record/kew-2737546,,,,,4047
in,cumin,plant,spice,spice,Cuminum cyminum,L.,,,,,cumin,,,,,https://powo.science.kew.org/taxon/840882-1,,Apiaceae,fruit,W. \& C. Asia; India ,,32,53,van_wyk_culinary_2014,,Asia,West Asia,"Afghanistan, Iran, Iraq",3,"Algeria, Andaman Is., Bangladesh, Benin, Bulgaria, East Himalaya, Eritrea, France, India, Kazakhstan, Laos, Lebanon-Syria, Libya, Massachusetts, Mexico Northeast, Morocco, Nicobar Is., Pakistan, Saudi Arabia, Sicilia, Spain, Texas, Transcaucasus, Tunisia, Uzbekistan, Xinjiang",26,29.0,8.666666666666666,"India, Iran, Lebanon",light brown,,Fructus Cumini,,,,,,,,,,,,,https://www.britannica.com/plant/cumin,,cumin,,cumin,"阿拉伯茴香, 安息茴香, 马芹子, 孜然",孜然,孜然,zī​rán,,,,كمون ,kammūn,,,római kömény,Roman cumin,,egyiptomi kömény [Egyiptian cumin],,,,,,jintan puteh,,,"peppery, aromatic",4,"curries, breads; colic",,,III 23,,,,,,,,http://www.theplantlist.org/tpl1.1/record/kew-2747364,,,,,52462
in,dill,plant,spice,spice; herb,Anethum graveolens,L.,,,,,dill; Indian dill,,,,,https://powo.science.kew.org/taxon/837530-1,,Apiaceae,fruit; leaf,Nort Africa; West Asia,,28,30,van_wyk_culinary_2014,,Med.; W. Asia,Nort Africa; West Asia,"Algeria, Chad, Cyprus, Gulf States, Iran, Lebanon-Syria, Libya, Morocco, Oman, Saudi Arabia, Tunisia",11,"Afghanistan, Alabama, Albania, Alberta, Altay, Andaman Is., Angola, Argentina Northeast, Arizona, Arkansas, Assam, Austria, Azores, Bahamas, Baleares, Baltic States, Bangladesh, Belarus, Belgium, Brazil South, Brazil Southeast, British Columbia, Bulgaria, California, Cameroon, Canary Is., Cape Verde, Cayman Is., Central European Rus, China North-Central, China South-Central, China Southeast, Connecticut, Costa Rica, Cuba, Czechoslovakia, Delaware, Denmark, Dominican Republic, East Aegean Is., East European Russia, East Himalaya, Ecuador, Eritrea, Ethiopia, Finland, France, Ghana, Great Britain, Greece, Guatemala, Haiti, Hawaii, Hungary, Illinois, India, Indiana, Iowa, Iraq, Italy, Jamaica, Kansas, Kazakhstan, Kentucky, Kenya, Kriti, Krym, Laos, Leeward Is., Louisiana, Madeira, Maine, Manitoba, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Mongolia, Montana, Mozambique, Nebraska, Nepal, Netherlands, New Jersey, New York, Nicobar Is., Niger, Nigeria, North Carolina, North Dakota, Northwest European R, Norway, Ohio, Oklahoma, Ontario, Oregon, Pakistan, Palestine, Pennsylvania, Peru, Portugal, Primorye, Puerto Rico, Québec, Rhode I., Romania, Saskatchewan, Sicilia, Somalia, South Dakota, South European Russi, Spain, Sudan, Sweden, Switzerland, Tadzhikistan, Tanzania, Texas, Thailand, Transcaucasus, Trinidad-Tobago, Turkey, Turkey-in-Europe, Ukraine, Uzbekistan, Vietnam, Virginia, Wake I., Washington, West Virginia, Windward Is., Wisconsin, Yugoslavia",134,145.0,12.181818181818182,India,greyish brown,,Fructus Anethi,,,,,1261,,,,,蒔蘿子,,,https://www.britannica.com/plant/dill,,dill,,,,,蒔蘿,shíluó,,,,شبت,shibitt,,,kapor,,,,,,,,,,,,,,,,,,,,Dill,,,,,http://www.theplantlist.org/tpl1.1/record/kew-2638934,,,,,40922
in,fennel,plant,spice,spice; herb; vegetable,Foeniculum vulgare,Mill.,,,,,fennel,,,,,https://powo.science.kew.org/taxon/842680-1,,Apiaceae,fruit; leaf,Med,,29,42,van_wyk_culinary_2014,659,Med,Mediterranean; W. Asia,"Afghanistan, Albania, Algeria, Azores, Baleares, Bulgaria, Canary Is., Cape Verde, Corse, Cyprus, East Aegean Is., Egypt, Eritrea, Ethiopia, France, Greece, Gulf States, Iran, Iraq, Italy, Kriti, Lebanon-Syria, Libya, Madeira, Morocco, Nepal, North Caucasus, Pakistan, Palestine, Portugal, Sardegna, Saudi Arabia, Sicilia, Sinai, Spain, Tadzhikistan, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Uzbekistan, West Himalaya, Yemen, Yugoslavia",45,"Alberta, Amsterdam-St.Paul Is, Angola, Argentina Northeast, Argentina Northwest, Argentina South, Arizona, Assam, Austria, Bahamas, Bangladesh, Belgium, Bermuda, Brazil South, Brazil Southeast, British Columbia, California, Cape Provinces, Central European Rus, Chile Central, Chile North, Chile South, China North-Central, China South-Central, China Southeast, Colombia, Connecticut, Costa Rica, Cuba, Czechoslovakia, Delaware, Denmark, Djibouti, Dominican Republic, East Himalaya, Ecuador, El Salvador, Fiji, Finland, Florida, Georgia, Germany, Great Britain, Guatemala, Gulf of Guinea Is., Haiti, Hawaii, Hungary, Illinois, India, Iowa, Ireland, Jamaica, Jawa, Juan Fernández Is., Kansas, Kazakhstan, Kentucky, Kenya, Korea, Krym, KwaZulu-Natal, Leeward Is., Lesotho, Louisiana, Maine, Marianas, Maryland, Massachusetts, Mauritius, Mexico Northwest, Michigan, Mississippi, Missouri, Mongolia, Mozambique, Myanmar, Nebraska, Netherlands, Nevada, New Jersey, New Mexico, New York, New Zealand North, New Zealand South, Niue, Norfolk Is., North Carolina, Northern Provinces, Norway, Ohio, Ontario, Oregon, Paraguay, Pennsylvania, Peru, Poland, Puerto Rico, Québec, Rhode I., Rodrigues, Romania, Réunion, Society Is., Somalia, South Carolina, South European Russi, St.Helena, Sudan, Sweden, Switzerland, Tanzania, Tennessee, Texas, Thailand, Ukraine, Uruguay, Utah, Vietnam, Virginia, Washington, West Virginia, Windward Is., Wisconsin, Zimbabwe",125,170.0,2.7777777777777777,"Argentina, Bulgaria, Germany, Greece, India, Lebanon",light green to light brown,,Fructus Foeniculi; Foeniculi Fructus,Fennel,yes,,小茴香,,Dried ripe fruit of Foeniculum vulgare Mill. (Fam. Apiaceae),Interior-warming medicinal,pungent; warm,"Liver, Spleen, Kidney, Stomach",小茴香 (小茴)； 槐香 (茴香); 茴香 (小茴香) ,,,https://www.britannica.com/plant/fennel,"Macaronesia, Medit. to Ethiopia and W. Nepal.",fennel,,,"八角茴香, 大茴香, 茴香",茴香,茴香,huíxiāng,,hui-spice,小茴香 \textit{xiǎohúixiāng} [little-hui-spice],شمر,shamar,,,édeskömény,sweet-cumin,\textit{ánizskapor} [anise-dill],,सौंफ़,saunf,fennel,,adas,,رازیانه، بادیانه، بادیان,,"licorice-like, warm",1,"fish, breads, sausages; colic",,,II 88,,,Fennel,,yes,yes,,http://www.theplantlist.org/tpl1.1/record/kew-2813604,,,,,2849586
in,fenugreek,plant,spice,spice; herb,Trigonella foenum-graecum,L.,,,,,fenugreek,,,,,https://powo.science.kew.org/taxon/523957-1,,Fabaceae,seed; leaf,S Eur; W As,,33,67,van_wyk_culinary_2014,1061,Asia,West Asia,"Afghanistan, Iran, Iraq, Pakistan",4,"Albania, Algeria, Assam, Austria, Baltic States, Bangladesh, Belgium, Bulgaria, Central European Rus, China North-Central, China South-Central, Cyprus, Czechoslovakia, East Aegean Is., East European Russia, Ethiopia, Fiji, France, Germany, Greece, Hungary, India, Inner Mongolia, Italy, Kenya, Kirgizstan, Kriti, Krym, Kuwait, Lebanon-Syria, Libya, Mali, Manchuria, Morocco, Mozambique, Myanmar, Nepal, North Caucasus, North European Russi, Northern Provinces, Northwest European R, Oman, Palestine, Portugal, Qinghai, Romania, Saudi Arabia, Sicilia, Sinai, South European Russi, Spain, Sudan, Switzerland, Tadzhikistan, Tanzania, Tibet, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Ukraine, Uzbekistan, West Himalaya, Xinjiang, Yemen, Yugoslavia, Zimbabwe",68,72.0,17.0,India,mustard yellow seeds,,,,,,,,,,,,,,,https://www.britannica.com/plant/fenugreek,,fenugreek,,,,胡芦巴,胡蘆巴,húlúbā,,,,حلبة,ḥulba,,,görögszéna,greek-hay,,,,,,,"From Malay adas (“fennel”), from Arabic عَدَس‎ (ʿadas, “lentil”), possibly via Persian عدس‎.",,,,,,,,,II 155,,,,,yes,yes,,http://www.theplantlist.org/tpl1.1/record/ild-8021,,,,,78534
in,ginger,plant,spice,spice,Zingiber officinale,Roscoe,,,,,ginger; common ginger,,,,,https://powo.science.kew.org/taxon/798372-1,,Zingiberaceae,rhizome,South East Asia; India (secondary),,24,95,van_wyk_culinary_2014,?,Asia,Southeast Asia,"Assam, China South-Central, East Himalaya, India",4,"Andaman Is., Bangladesh, Borneo, Cambodia, Caroline Is., China Southeast, Comoros, Costa Rica, Cuba, Dominican Republic, Gulf of Guinea Is., Hainan, Haiti, Honduras, Leeward Is., Lesser Sunda Is., Madagascar, Malaya, Mauritius, Mexico Southwest, Myanmar, New Guinea, Nicobar Is., Philippines, Puerto Rico, Queensland, Rodrigues, Réunion, Solomon Is., Sri Lanka, Taiwan, Thailand, Trinidad-Tobago, Vietnam, Windward Is.",35,39.0,8.75,"India, Jamaica, Nigeria, Sierra Leone","light yellow when fresh, beige when powdered",,Rhizoma Zingiberis ,Zingiber (Dried Ginger),yes,polyu-tcm,乾薑,jiāng,Fresh or dried rhizome of Zingiber officinale (Willd.) Rosc. (Fam. Zingiberaceae),,,,,,,https://www.britannica.com/plant/ginger,,ginger,,common ginger (plant),姜,姜,薑,jiāng,,,,زنجبيل,zanjabīl,,,gyömbér,,,,,,,,,,,,"fiery, pungent",7,Asian cooking; anti-emetic,,,II 172,,,,,yes,no,,http://www.theplantlist.org/tpl1.1/record/kew-273361,,,,,94328
